endereco,preco,quartos,metragem,vagas
"Rua 11, VILA GOIS, ANAPOLIS",890.000,3,199 m²,3 Vagas
"AVENIDA PATRIARCA, LOURDES, ANAPOLIS",250.000,2,41 m²,1 Vaga
"Avenida Mirage, RESIDENCIAL ITATIAIA, ANAPOLIS",230.000,2,50 m²,1 Vaga
"AVENIDA FABRIL, VILA FABRIL, ANAPOLIS",280.000,2,50 m²,1 Vaga
"Rua D, ANDRACEL CENTER, ANAPOLIS",230.000,2,42 m²,1 Vaga
"Rua JM 0033, SETOR SUL JAMIL MIGUEL, ANAPOLIS",350.000,3,82 m²,2 Vagas
"Rua JUNDIAI, JUNDIAI, ANAPOLIS",1.100.000,3,104 m²,2 Vagas
"AVENIDA TIRADENTES, JARDIM ALEXANDRINA, ANAPOLIS",215.000,2,40 m²,1 Vaga
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",418.000,2,61 m²,2 Vagas
"Rua L 0018, JARDIM EUROPA, ANAPOLIS",630.000,3,74 m²,1 Vaga
"AVENIDA A, JUNDIAI, ANAPOLIS",1.050.000,3,150 m²,2 Vagas
"Rua SC 1, RESIDENCIAL SAO CRISTOVAO, ANAPOLIS",138.000,2,53 m²,1 Vaga
"Avenida Alvorada, CHACARAS AMERICANAS, ANAPOLIS",300.000,2,52 m²,1 Vaga
"Avenida Ferroviária, VILA FORMOSA, ANAPOLIS",252.000,2,57 m²,2 Vagas
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",550.000,2,66 m²,1 Vaga
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",900.000,3,189 m²,2 Vagas
"Rua B, CONJUNTO ELDORADO, ANAPOLIS",111.000,2,50 m²,1 Vaga
"Rua 11, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",910.000,3,82 m²,1 Vaga
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",130.000,2,66 m²,1 Vaga
"AVENIDA PATRIARCA, LOURDES, ANAPOLIS",102.000,2,40 m²,1 Vaga
"Rua L 0018, JARDIM EUROPA, ANAPOLIS",560.000,3,107 m²,2 Vagas
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",800.000,3,110 m²,3 Vagas
"Rua BORBA GATO, VILA NOSSA SENHORA DABADIA, ANAPOLIS",175.000,2,50 m²,1 Vaga
"Rua PADRE CASTELLI, JUNDIAI, ANAPOLIS",1.890.000,4,122 m²,2 Vagas
"Rua BRAZ CORDEIRO DE MORAIS, VILA INDUSTRIAL, ANAPOLIS",430.000,3,147 m²,2 Vagas
"AVENIDA JAMEL CECILIO, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",330.000,3,80 m²,1 Vaga
"Rua ELIAS GOMES, JUNDIAI, ANAPOLIS",1.200.000,3,151 m²,4 Vagas
"AVENIDA BERNARDO SAYAO, VILA JAIARA, ANAPOLIS",380.000,3,92 m²,1 Vaga
"Rua 06, CHACARAS COLORADO, ANAPOLIS",280.000,3,79 m²,1 Vaga
"AVENIDA PROFESSORA ZENAIDE DE C. RORIZ, JUNDIAI, ANAPOLIS",1.200.000,4,179 m²,3 Vagas
"Avenida Ferroviária, VILA FORMOSA, ANAPOLIS",265.000,2,87 m²,1 Vaga
"Rua DOUTOR BERNARDO SAYAO, CIDADE UNIVERSITARIA, ANAPOLIS",220.000,1,48 m²,1 Vaga
"Rua PROFESSOR ELI ALVES, VILA NOSSA SENHORA DABADIA, ANAPOLIS",300.000,2,79 m²,1 Vaga
"Rua JACARANDA, RESIDENCIAL ARAUJOVILLE, ANAPOLIS",520.000,3,99 m²,1 Vaga
"Rua JOSE NETO PARANHOS, JUNDIAI, ANAPOLIS",235.000,2,60 m²,1 Vaga
"Rua D, ANDRACEL CENTER, ANAPOLIS",215.000,2,42 m²,1 Vaga
"Rua 03, VILA SANTA ISABEL, ANAPOLIS",270.000,2,60 m²,1 Vaga
"Rua 02, CIDADE JARDIM, ANAPOLIS",415.000,3,99 m²,1 Vaga
"ALAMEDA CONTORNO, JK PARQUE INDUSTRIAL NOVA CAPITAL, ANAPOLIS",495.000,3,103 m²,2 Vagas
"Rua 32, ELDORADO, ANAPOLIS",445.000,3,69 m²,2 Vagas
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",850.000,3,125 m²,2 Vagas
"Avenida Mirage, RESIDENCIAL ITATIAIA, ANAPOLIS",215.000,2,48 m²,1 Vaga
"Rua CIRILO SILVA, VILA GOIS, ANAPOLIS",220.000,2,52 m²,1 Vaga
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",1.420.000,3,138 m²,3 Vagas
"Rua DOM EMANUEL, MARACANA, ANAPOLIS",230.000,3,76 m²,1 Vaga
"AVENIDA MARANHAO, JUNDIAI, ANAPOLIS",906.265,3,100 m²,2 Vagas
"Rua DAYSE FANSTONE, CIDADE UNIVERSITARIA, ANAPOLIS",320.000,3,86 m²,1 Vaga
"Rua BALSAMO, RESIDENCIAL ARAUJOVILLE, ANAPOLIS",420.000,3,101 m²,2 Vagas
"AVENIDA JOAO VIEIRA, JARDIM PROGRESSO, ANAPOLIS",235.000,2,51 m²,1 Vaga
"AVENIDA JUSCELINO KUBITSCHEK, JUNDIAI, ANAPOLIS",300.000,2,57 m²,1 Vaga
"Rua PB 11, PARQUE BRASILIA 2 ETAPA, ANAPOLIS",270.000,2,79 m²,1 Vaga
"Rua Presidente Kennedy, JUNDIAI, ANAPOLIS",1.490.000,3,164 m²,3 Vagas
"AVENIDA JUSCELINO KUBITSCHEK, JUNDIAI, ANAPOLIS",655.336,3,78 m²,2 Vagas
"Rua 05, CIDADE JARDIM, ANAPOLIS",330.000,3,79 m²,1 Vaga
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",570.000,2,75 m²,2 Vagas
"Rua DOUTOR BERNARDO SAYAO, CIDADE UNIVERSITARIA, ANAPOLIS",240.000,1,30 m²,1 Vaga
"AVENIDA BERNARDO SAYAO, VILA JAIARA, ANAPOLIS",300.000,3,84 m²,1 Vaga
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",490.000,2,75 m²,1 Vaga
"Rua F, CIDADE JARDIM, ANAPOLIS",500.000,3,72 m²,2 Vagas
